Designator,Mid X,Mid Y,Rotation,Layer
NP62,463.16,-122.49,180.0,bottom
NP63,72.635,-141.54,0.0,bottom
NP64,91.685,-141.54,0.0,bottom
NP65,110.735,-141.54,0.0,bottom
NP66,215.51,-141.54,0.0,bottom
NP67,234.56,-141.54,0.0,bottom
NP68,253.61,-141.54,0.0,bottom
NP69,272.66,-141.54,0.0,bottom
NP7,191.6975,-84.39,180.0,bottom
NP70,291.71,-141.54,0.0,bottom
NP71,310.76,-141.54,0.0,bottom
NP72,329.81,-141.54,0.0,bottom
NP73,348.86,-141.54,0.0,bottom
NP74,367.91,-141.54,0.0,bottom
NP75,386.96,-141.54,0.0,bottom
NP76,406.01,-141.54,0.0,bottom
NP77,425.06,-141.54,0.0,bottom
NP78,444.11,-141.54,0.0,bottom
NP79,72.635,-160.59,180.0,bottom
NP8,215.51,-84.39,180.0,bottom
NP80,91.685,-160.59,180.0,bottom
NP81,110.735,-160.59,180.0,bottom
NP82,129.785,-160.59,180.0,bottom
NP83,172.6475,-160.59,180.0,bottom
NP84,215.51,-160.59,180.0,bottom
NP85,234.56,-160.59,180.0,bottom
NP86,253.61,-160.59,180.0,bottom
NP87,272.66,-160.59,180.0,bottom
NP88,291.71,-160.59,180.0,bottom
NP89,310.76,-160.59,180.0,bottom
NP9,234.56,-84.39,180.0,bottom
NP90,329.81,-160.59,180.0,bottom
NP91,348.86,-160.59,180.0,bottom
NP92,367.91,-160.59,180.0,bottom
NP93,386.96,-160.59,180.0,bottom
NP94,406.01,-160.59,180.0,bottom
NP95,425.06,-160.59,180.0,bottom
NP96,72.635,-179.64,0.0,bottom
NP97,110.735,-179.64,0.0,bottom
NP98,153.5975,-179.64,0.0,bottom
NP99,172.6475,-179.64,0.0,bottom
OLED1,158.069362,-58.238772,80.0,top
R1,196.26,-41.79,0.0,bottom
R2,215.589624,-43.270181,244.0,bottom
R3,66.005,-83.914999,270.0,bottom
RESET1,170.026874,-58.232213,80.0,top
U1,164.968855,-59.473543,10.0,bottom
USB1,206.195,-37.33,180.0,bottom
